Outfit ID,Name,Category,Style,Color,Occasion,Gender,Budget,Season,Image URL,Components,Style Explanation
107,Casual Blazer and White Tee,Smart Casual,Smart Casual,Brown,Business Meeting,Men,96.82,Winter,/assets/outfits/smart casual_brown_107.jpg,"Brown Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
108,Vibrant Red Velvet Blazer,Party Wear,Party,Red,Party,Unisex,73.16,Winter,/assets/outfits/party_red_108.jpg,"Red Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
109,Casual Blazer and White Tee,Smart Casual,Smart Casual,Green,Business Meeting,Men,107.44,Winter,/assets/outfits/smart casual_green_109.jpg,"Green Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
110,Designer Blue Anarkali Suit,Traditional Wear,Traditional,Blue,Wedding,Unisex,179.96,Summer,/assets/outfits/traditional_blue_110.jpg,"Blue Anarkali Gown, Matching Dupatta, Traditional Jhumkas, Golden Sandals",Flowing traditional silhouette creating a grace-filled traditional appeal.
111,Streetwear Green Windbreaker Outfit,Streetwear,Streetwear,Green,Party,Unisex,58.75,Summer,/assets/outfits/streetwear_green_111.jpg,"Green Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
112,Glamorous Brown Party Dress,Party Wear,Party,Brown,Party,Men,94.38,Summer,/assets/outfits/party_brown_112.jpg,"Brown Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
113,Oversized Blue Tee and Cargoes,Streetwear,Streetwear,Blue,Party,Unisex,48.4,Rainy,/assets/outfits/streetwear_blue_113.jpg,"Oversized Blue Graphic Tee, Black Cargo Pants, Chunky Sneakers, Bucket Hat",Urban street style leaning heavily on baggy fits and utility details.
114,Royal Green Sherwani Ensemble,Traditional Wear,Traditional,Green,Party,Unisex,273.13,Rainy,/assets/outfits/traditional_green_114.jpg,"Green Silk Sherwani, Churidar Pants, Designer Stole, Traditional Juttis",An exquisite formal option for weddings and high ceremonies.
115,Glamorous Blue Party Dress,Party Wear,Party,Blue,Party,Women,149.34,Summer,/assets/outfits/party_blue_115.jpg,"Blue Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
116,Casual Blazer and White Tee,Smart Casual,Smart Casual,Yellow,Casual Hangout,Unisex,91.07,Rainy,/assets/outfits/smart casual_yellow_116.jpg,"Yellow Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
117,Streetwear Blue Windbreaker Outfit,Streetwear,Streetwear,Blue,Party,Unisex,78.83,Rainy,/assets/outfits/streetwear_blue_117.jpg,"Blue Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
118,Chic White Blazer and Chinos,Business Casual,Formal,White,Business Meeting,Women,71.56,Winter,/assets/outfits/formal_white_118.jpg,"White Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
119,Elegant Blue Kurta Pyjama,Traditional Wear,Traditional,Blue,Party,Men,61.85,Summer,/assets/outfits/traditional_blue_119.jpg,"Blue Embroidered Kurta, White Pajama Pants, Traditional Mojari Shoes, Nehru Jacket",Classic festive wear showcasing rich craftsmanship and cultural heritage.
120,Brown Dress Shirt with Trousers,Business Casual,Formal,Brown,Interview,Women,133.15,Winter,/assets/outfits/formal_brown_120.jpg,"Brown Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
121,Glamorous Green Party Dress,Party Wear,Party,Green,Party,Women,97.77,Summer,/assets/outfits/party_green_121.jpg,"Green Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
122,Sleek Brown Nightout Outfit,Party Wear,Party,Brown,Party,Men,24.44,Winter,/assets/outfits/party_brown_122.jpg,"Brown Leather Jacket, Black Fitted Tee, Ripped Black Jeans, Chelsea Boots",Edgy and eye-catching ensemble optimized for evening events and parties.
123,Oversized White Tee and Cargoes,Streetwear,Streetwear,White,Party,Men,25.11,Rainy,/assets/outfits/streetwear_white_123.jpg,"Oversized White Graphic Tee, Black Cargo Pants, Chunky Sneakers, Bucket Hat",Urban street style leaning heavily on baggy fits and utility details.
124,Tailored Red Suit Ensemble,Business Formal,Formal,Red,Interview,Women,421.49,Rainy,/assets/outfits/formal_red_124.jpg,"Red Blazer, Matching Red Trousers, White Dress Shirt, Black Oxford Shoes, Silk Tie","A sharp, corporate-ready suit combination to exude professionalism."
125,Glamorous Green Party Dress,Party Wear,Party,Green,Party,Women,103.59,Rainy,/assets/outfits/party_green_125.jpg,"Green Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
126,Elegant Red Kurta Pyjama,Traditional Wear,Traditional,Red,Wedding,Unisex,57.53,Summer,/assets/outfits/traditional_red_126.jpg,"Red Embroidered Kurta, White Pajama Pants, Traditional Mojari Shoes, Nehru Jacket",Classic festive wear showcasing rich craftsmanship and cultural heritage.
127,Casual Blazer and White Tee,Smart Casual,Smart Casual,White,Party,Men,78.26,Summer,/assets/outfits/smart casual_white_127.jpg,"White Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
128,Denim Jacket with Green Shirt,Casual Wear,Casual,Green,Sport,Unisex,102.04,Winter,/assets/outfits/casual_green_128.jpg,"Blue Denim Jacket, Green Cotton T-Shirt, Black Jeans, Sneakers",Layered denim style that provides casual warmth.
129,Chic Yellow Blazer and Chinos,Business Casual,Formal,Yellow,Business Meeting,Women,77.83,Rainy,/assets/outfits/formal_yellow_129.jpg,"Yellow Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
130,Chic Brown Blazer and Chinos,Business Casual,Formal,Brown,Interview,Unisex,116.77,Rainy,/assets/outfits/formal_brown_130.jpg,"Brown Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
131,Elegant Yellow Kurta Pyjama,Traditional Wear,Traditional,Yellow,Wedding,Men,24.28,Winter,/assets/outfits/traditional_yellow_131.jpg,"Yellow Embroidered Kurta, White Pajama Pants, Traditional Mojari Shoes, Nehru Jacket",Classic festive wear showcasing rich craftsmanship and cultural heritage.
132,Chic Red Blazer and Chinos,Business Casual,Formal,Red,Business Meeting,Unisex,118.31,Rainy,/assets/outfits/formal_red_132.jpg,"Red Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
133,Vibrant Blue Velvet Blazer,Party Wear,Party,Blue,Party,Unisex,125.05,Winter,/assets/outfits/party_blue_133.jpg,"Blue Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
134,Glamorous Black Party Dress,Party Wear,Party,Black,Party,Unisex,150.8,Summer,/assets/outfits/party_black_134.jpg,"Black Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
135,Royal Black Sherwani Ensemble,Traditional Wear,Traditional,Black,Wedding,Men,499.85,Summer,/assets/outfits/traditional_black_135.jpg,"Black Silk Sherwani, Churidar Pants, Designer Stole, Traditional Juttis",An exquisite formal option for weddings and high ceremonies.
136,Streetwear Red Windbreaker Outfit,Streetwear,Streetwear,Red,Party,Men,51.14,Summer,/assets/outfits/streetwear_red_136.jpg,"Red Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
137,Glamorous White Party Dress,Party Wear,Party,White,Party,Unisex,176.6,Winter,/assets/outfits/party_white_137.jpg,"White Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
138,Glamorous Green Party Dress,Party Wear,Party,Green,Party,Women,164.35,Winter,/assets/outfits/party_green_138.jpg,"Green Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
139,Yellow Polo and Khaki Pants,Smart Casual,Smart Casual,Yellow,Party,Women,76.71,Winter,/assets/outfits/smart casual_yellow_139.jpg,"Yellow Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
140,Elegant Green Kurta Pyjama,Traditional Wear,Traditional,Green,Party,Men,39.4,Winter,/assets/outfits/traditional_green_140.jpg,"Green Embroidered Kurta, White Pajama Pants, Traditional Mojari Shoes, Nehru Jacket",Classic festive wear showcasing rich craftsmanship and cultural heritage.
141,Vibrant Brown Velvet Blazer,Party Wear,Party,Brown,Party,Men,115.46,Rainy,/assets/outfits/party_brown_141.jpg,"Brown Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
142,Blue Dress Shirt with Trousers,Business Casual,Formal,Blue,Business Meeting,Unisex,153.6,Summer,/assets/outfits/formal_blue_142.jpg,"Blue Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
143,Chic Red Blazer and Chinos,Business Casual,Formal,Red,Business Meeting,Men,166.89,Summer,/assets/outfits/formal_red_143.jpg,"Red Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
144,Sleek Black Nightout Outfit,Party Wear,Party,Black,Party,Unisex,62.59,Rainy,/assets/outfits/party_black_144.jpg,"Black Leather Jacket, Black Fitted Tee, Ripped Black Jeans, Chelsea Boots",Edgy and eye-catching ensemble optimized for evening events and parties.
145,Casual Blazer and White Tee,Smart Casual,Smart Casual,Red,Casual Hangout,Women,179.15,Summer,/assets/outfits/smart casual_red_145.jpg,"Red Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
146,Denim Jacket with Black Shirt,Casual Wear,Casual,Black,Sport,Unisex,172.59,Summer,/assets/outfits/casual_black_146.jpg,"Blue Denim Jacket, Black Cotton T-Shirt, Black Jeans, Sneakers",Layered denim style that provides casual warmth.
147,Green Polo and Khaki Pants,Smart Casual,Smart Casual,Green,Casual Hangout,Women,47.41,Winter,/assets/outfits/smart casual_green_147.jpg,"Green Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
148,Chic White Blazer and Chinos,Business Casual,Formal,White,Interview,Unisex,165.04,Rainy,/assets/outfits/formal_white_148.jpg,"White Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
149,Blue Polo and Khaki Pants,Smart Casual,Smart Casual,Blue,Casual Hangout,Unisex,36.97,Winter,/assets/outfits/smart casual_blue_149.jpg,"Blue Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
150,Brown Polo and Khaki Pants,Smart Casual,Smart Casual,Brown,Party,Men,49.06,Winter,/assets/outfits/smart casual_brown_150.jpg,"Brown Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
151,Green Polo and Khaki Pants,Smart Casual,Smart Casual,Green,Party,Women,34.33,Summer,/assets/outfits/smart casual_green_151.jpg,"Green Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
152,Sleek Brown Nightout Outfit,Party Wear,Party,Brown,Party,Women,64.68,Summer,/assets/outfits/party_brown_152.jpg,"Brown Leather Jacket, Black Fitted Tee, Ripped Black Jeans, Chelsea Boots",Edgy and eye-catching ensemble optimized for evening events and parties.
153,Streetwear Green Windbreaker Outfit,Streetwear,Streetwear,Green,Casual Hangout,Unisex,49.72,Rainy,/assets/outfits/streetwear_green_153.jpg,"Green Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
154,Comfy Red Hoodie and Joggers,Casual Wear,Casual,Red,Casual Hangout,Unisex,72.45,Rainy,/assets/outfits/casual_red_154.jpg,"Red Hoodie, Grey Joggers, Running Shoes",Comfort-first outfit designed for running errands or lounging.
155,Sleek Red Nightout Outfit,Party Wear,Party,Red,Party,Women,44.6,Summer,/assets/outfits/party_red_155.jpg,"Red Leather Jacket, Black Fitted Tee, Ripped Black Jeans, Chelsea Boots",Edgy and eye-catching ensemble optimized for evening events and parties.
156,Oversized Black Tee and Cargoes,Streetwear,Streetwear,Black,Party,Women,57.4,Winter,/assets/outfits/streetwear_black_156.jpg,"Oversized Black Graphic Tee, Black Cargo Pants, Chunky Sneakers, Bucket Hat",Urban street style leaning heavily on baggy fits and utility details.
157,Vibrant Black Velvet Blazer,Party Wear,Party,Black,Party,Women,174.96,Rainy,/assets/outfits/party_black_157.jpg,"Black Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
158,Streetwear Brown Windbreaker Outfit,Streetwear,Streetwear,Brown,Casual Hangout,Unisex,34.09,Summer,/assets/outfits/streetwear_brown_158.jpg,"Brown Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
159,Streetwear White Windbreaker Outfit,Streetwear,Streetwear,White,Party,Unisex,78.7,Summer,/assets/outfits/streetwear_white_159.jpg,"White Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
160,Oversized Green Tee and Cargoes,Streetwear,Streetwear,Green,Party,Men,74.21,Rainy,/assets/outfits/streetwear_green_160.jpg,"Oversized Green Graphic Tee, Black Cargo Pants, Chunky Sneakers, Bucket Hat",Urban street style leaning heavily on baggy fits and utility details.
161,Lightweight Brown Shorts and Tee,Casual Wear,Casual,Brown,Sport,Men,42.49,Rainy,/assets/outfits/casual_brown_161.jpg,"White T-Shirt, Brown Cotton Shorts, Sandals",Perfect breathable outfit for hot summer days.
162,Tailored Red Suit Ensemble,Business Formal,Formal,Red,Interview,Women,209.49,Rainy,/assets/outfits/formal_red_162.jpg,"Red Blazer, Matching Red Trousers, White Dress Shirt, Black Oxford Shoes, Silk Tie","A sharp, corporate-ready suit combination to exude professionalism."
163,Denim Jacket with Red Shirt,Casual Wear,Casual,Red,Sport,Unisex,170.41,Summer,/assets/outfits/casual_red_163.jpg,"Blue Denim Jacket, Red Cotton T-Shirt, Black Jeans, Sneakers",Layered denim style that provides casual warmth.
164,Tailored Green Suit Ensemble,Business Formal,Formal,Green,Business Meeting,Unisex,239.36,Summer,/assets/outfits/formal_green_164.jpg,"Green Blazer, Matching Green Trousers, White Dress Shirt, Black Oxford Shoes, Silk Tie","A sharp, corporate-ready suit combination to exude professionalism."
165,Denim Jacket with Blue Shirt,Casual Wear,Casual,Blue,Casual Hangout,Unisex,78.12,Winter,/assets/outfits/casual_blue_165.jpg,"Blue Denim Jacket, Blue Cotton T-Shirt, Black Jeans, Sneakers",Layered denim style that provides casual warmth.
166,Yellow Polo and Khaki Pants,Smart Casual,Smart Casual,Yellow,Business Meeting,Women,47.41,Rainy,/assets/outfits/smart casual_yellow_166.jpg,"Yellow Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
167,Casual Blazer and White Tee,Smart Casual,Smart Casual,Green,Casual Hangout,Women,111.95,Summer,/assets/outfits/smart casual_green_167.jpg,"Green Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
168,Yellow Polo and Khaki Pants,Smart Casual,Smart Casual,Yellow,Party,Women,43.75,Summer,/assets/outfits/smart casual_yellow_168.jpg,"Yellow Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
169,Red T-Shirt and Denim Jeans,Casual Wear,Casual,Red,Sport,Unisex,66.54,Rainy,/assets/outfits/casual_red_169.jpg,"Red T-Shirt, Blue Jeans, White Sneakers",A classic everyday relaxed look perfect for casual outings.
170,Brown Dress Shirt with Trousers,Business Casual,Formal,Brown,Interview,Women,138.3,Winter,/assets/outfits/formal_brown_170.jpg,"Brown Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
171,Oversized Yellow Tee and Cargoes,Streetwear,Streetwear,Yellow,Casual Hangout,Men,38.54,Rainy,/assets/outfits/streetwear_yellow_171.jpg,"Oversized Yellow Graphic Tee, Black Cargo Pants, Chunky Sneakers, Bucket Hat",Urban street style leaning heavily on baggy fits and utility details.
172,Sleek Red Nightout Outfit,Party Wear,Party,Red,Party,Women,25.41,Rainy,/assets/outfits/party_red_172.jpg,"Red Leather Jacket, Black Fitted Tee, Ripped Black Jeans, Chelsea Boots",Edgy and eye-catching ensemble optimized for evening events and parties.
173,Yellow Polo and Khaki Pants,Smart Casual,Smart Casual,Yellow,Casual Hangout,Women,27.93,Summer,/assets/outfits/smart casual_yellow_173.jpg,"Yellow Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
174,Royal Red Sherwani Ensemble,Traditional Wear,Traditional,Red,Wedding,Unisex,239.94,Winter,/assets/outfits/traditional_red_174.jpg,"Red Silk Sherwani, Churidar Pants, Designer Stole, Traditional Juttis",An exquisite formal option for weddings and high ceremonies.
175,Glamorous Yellow Party Dress,Party Wear,Party,Yellow,Party,Women,175.92,Summer,/assets/outfits/party_yellow_175.jpg,"Yellow Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
176,Tailored Brown Suit Ensemble,Business Formal,Formal,Brown,Business Meeting,Unisex,488.54,Rainy,/assets/outfits/formal_brown_176.jpg,"Brown Blazer, Matching Brown Trousers, White Dress Shirt, Black Oxford Shoes, Silk Tie","A sharp, corporate-ready suit combination to exude professionalism."
177,Elegant Green Kurta Pyjama,Traditional Wear,Traditional,Green,Party,Women,55.07,Rainy,/assets/outfits/traditional_green_177.jpg,"Green Embroidered Kurta, White Pajama Pants, Traditional Mojari Shoes, Nehru Jacket",Classic festive wear showcasing rich craftsmanship and cultural heritage.
178,Streetwear Black Windbreaker Outfit,Streetwear,Streetwear,Black,Party,Unisex,21.5,Summer,/assets/outfits/streetwear_black_178.jpg,"Black Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
179,Royal Red Sherwani Ensemble,Traditional Wear,Traditional,Red,Wedding,Men,372.39,Rainy,/assets/outfits/traditional_red_179.jpg,"Red Silk Sherwani, Churidar Pants, Designer Stole, Traditional Juttis",An exquisite formal option for weddings and high ceremonies.
180,Vibrant Blue Velvet Blazer,Party Wear,Party,Blue,Party,Unisex,85.38,Winter,/assets/outfits/party_blue_180.jpg,"Blue Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
181,Lightweight Green Shorts and Tee,Casual Wear,Casual,Green,Casual Hangout,Men,73.24,Summer,/assets/outfits/casual_green_181.jpg,"White T-Shirt, Green Cotton Shorts, Sandals",Perfect breathable outfit for hot summer days.
182,Chic Green Blazer and Chinos,Business Casual,Formal,Green,Business Meeting,Women,134.61,Rainy,/assets/outfits/formal_green_182.jpg,"Green Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
183,Oversized Green Tee and Cargoes,Streetwear,Streetwear,Green,Party,Unisex,56.94,Summer,/assets/outfits/streetwear_green_183.jpg,"Oversized Green Graphic Tee, Black Cargo Pants, Chunky Sneakers, Bucket Hat",Urban street style leaning heavily on baggy fits and utility details.
184,Casual Blazer and White Tee,Smart Casual,Smart Casual,Yellow,Business Meeting,Women,118.92,Summer,/assets/outfits/smart casual_yellow_184.jpg,"Yellow Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
185,Chic Black Blazer and Chinos,Business Casual,Formal,Black,Business Meeting,Unisex,76.66,Summer,/assets/outfits/formal_black_185.jpg,"Black Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
186,Casual Blazer and White Tee,Smart Casual,Smart Casual,Black,Party,Women,93.33,Summer,/assets/outfits/smart casual_black_186.jpg,"Black Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
187,Oversized Black Tee and Cargoes,Streetwear,Streetwear,Black,Casual Hangout,Women,67.22,Summer,/assets/outfits/streetwear_black_187.jpg,"Oversized Black Graphic Tee, Black Cargo Pants, Chunky Sneakers, Bucket Hat",Urban street style leaning heavily on baggy fits and utility details.
188,Tailored Brown Suit Ensemble,Business Formal,Formal,Brown,Interview,Unisex,434.57,Winter,/assets/outfits/formal_brown_188.jpg,"Brown Blazer, Matching Brown Trousers, White Dress Shirt, Black Oxford Shoes, Silk Tie","A sharp, corporate-ready suit combination to exude professionalism."
189,Chic Brown Blazer and Chinos,Business Casual,Formal,Brown,Interview,Men,100.5,Rainy,/assets/outfits/formal_brown_189.jpg,"Brown Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
190,Tailored Red Suit Ensemble,Business Formal,Formal,Red,Interview,Women,381.37,Winter,/assets/outfits/formal_red_190.jpg,"Red Blazer, Matching Red Trousers, White Dress Shirt, Black Oxford Shoes, Silk Tie","A sharp, corporate-ready suit combination to exude professionalism."
191,Comfy Black Hoodie and Joggers,Casual Wear,Casual,Black,Sport,Women,20.95,Summer,/assets/outfits/casual_black_191.jpg,"Black Hoodie, Grey Joggers, Running Shoes",Comfort-first outfit designed for running errands or lounging.
192,Casual Blazer and White Tee,Smart Casual,Smart Casual,White,Party,Unisex,82.5,Winter,/assets/outfits/smart casual_white_192.jpg,"White Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
193,Denim Jacket with Green Shirt,Casual Wear,Casual,Green,Casual Hangout,Women,119.72,Winter,/assets/outfits/casual_green_193.jpg,"Blue Denim Jacket, Green Cotton T-Shirt, Black Jeans, Sneakers",Layered denim style that provides casual warmth.
194,Black Dress Shirt with Trousers,Business Casual,Formal,Black,Business Meeting,Unisex,120.38,Rainy,/assets/outfits/formal_black_194.jpg,"Black Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
195,Green T-Shirt and Denim Jeans,Casual Wear,Casual,Green,Casual Hangout,Women,49.42,Rainy,/assets/outfits/casual_green_195.jpg,"Green T-Shirt, Blue Jeans, White Sneakers",A classic everyday relaxed look perfect for casual outings.
196,Sleek Black Nightout Outfit,Party Wear,Party,Black,Party,Women,23.94,Rainy,/assets/outfits/party_black_196.jpg,"Black Leather Jacket, Black Fitted Tee, Ripped Black Jeans, Chelsea Boots",Edgy and eye-catching ensemble optimized for evening events and parties.
197,Green Polo and Khaki Pants,Smart Casual,Smart Casual,Green,Business Meeting,Unisex,47.22,Rainy,/assets/outfits/smart casual_green_197.jpg,"Green Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
198,Royal Black Sherwani Ensemble,Traditional Wear,Traditional,Black,Wedding,Unisex,300.52,Summer,/assets/outfits/traditional_black_198.jpg,"Black Silk Sherwani, Churidar Pants, Designer Stole, Traditional Juttis",An exquisite formal option for weddings and high ceremonies.
199,Chic Blue Blazer and Chinos,Business Casual,Formal,Blue,Business Meeting,Women,150.26,Summer,/assets/outfits/formal_blue_199.jpg,"Blue Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
200,Blue Polo and Khaki Pants,Smart Casual,Smart Casual,Blue,Business Meeting,Unisex,77.22,Winter,/assets/outfits/smart casual_blue_200.jpg,"Blue Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
201,Streetwear Black Windbreaker Outfit,Streetwear,Streetwear,Black,Casual Hangout,Men,45.91,Summer,/assets/outfits/streetwear_black_201.jpg,"Black Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
202,Streetwear Brown Windbreaker Outfit,Streetwear,Streetwear,Brown,Casual Hangout,Men,55.19,Rainy,/assets/outfits/streetwear_brown_202.jpg,"Brown Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
203,Designer Blue Anarkali Suit,Traditional Wear,Traditional,Blue,Party,Unisex,273.76,Summer,/assets/outfits/traditional_blue_203.jpg,"Blue Anarkali Gown, Matching Dupatta, Traditional Jhumkas, Golden Sandals",Flowing traditional silhouette creating a grace-filled traditional appeal.
204,Streetwear Brown Windbreaker Outfit,Streetwear,Streetwear,Brown,Party,Unisex,56.02,Summer,/assets/outfits/streetwear_brown_204.jpg,"Brown Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
205,Casual Blazer and White Tee,Smart Casual,Smart Casual,Red,Casual Hangout,Unisex,142.24,Summer,/assets/outfits/smart casual_red_205.jpg,"Red Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
206,Tailored Blue Suit Ensemble,Business Formal,Formal,Blue,Interview,Unisex,416.91,Summer,/assets/outfits/formal_blue_206.jpg,"Blue Blazer, Matching Blue Trousers, White Dress Shirt, Black Oxford Shoes, Silk Tie","A sharp, corporate-ready suit combination to exude professionalism."
207,Elegant Brown Kurta Pyjama,Traditional Wear,Traditional,Brown,Wedding,Women,56.54,Rainy,/assets/outfits/traditional_brown_207.jpg,"Brown Embroidered Kurta, White Pajama Pants, Traditional Mojari Shoes, Nehru Jacket",Classic festive wear showcasing rich craftsmanship and cultural heritage.
208,Streetwear Black Windbreaker Outfit,Streetwear,Streetwear,Black,Party,Men,75.29,Winter,/assets/outfits/streetwear_black_208.jpg,"Black Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
209,Casual Blazer and White Tee,Smart Casual,Smart Casual,White,Party,Men,114.09,Rainy,/assets/outfits/smart casual_white_209.jpg,"White Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
210,Yellow Dress Shirt with Trousers,Business Casual,Formal,Yellow,Interview,Men,111.38,Winter,/assets/outfits/formal_yellow_210.jpg,"Yellow Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
211,Glamorous White Party Dress,Party Wear,Party,White,Party,Women,155.45,Winter,/assets/outfits/party_white_211.jpg,"White Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
212,Elegant Yellow Kurta Pyjama,Traditional Wear,Traditional,Yellow,Party,Men,59.72,Winter,/assets/outfits/traditional_yellow_212.jpg,"Yellow Embroidered Kurta, White Pajama Pants, Traditional Mojari Shoes, Nehru Jacket",Classic festive wear showcasing rich craftsmanship and cultural heritage.
